flow_id,source_ip,destination_ip,protocol,tx_packets,rx_packets,tx_bytes,rx_bytes,delay_sum,jitter_sum,lost_packets,packet_loss_ratio,throughput,flow_duration,label
1,10.1.1.2,10.1.2.2,17,2001,782,312156,121992,229.261,35.5722,994,0.331886,17.7326,55.0362,0
2,10.1.1.7,10.1.2.2,17,2247,2057,350532,320892,172.003,46.8206,173,0.0714876,39.6474,64.7491,0
3,10.1.1.1,10.1.2.2,17,36621,0,38525292,0,0,0,33569,0.478259,0,0,1
4,10.1.1.4,10.1.2.2,17,36621,2,38525292,2104,1.19408,0.190454,33567,0.478244,20.0152,0.84096,1
5,10.1.1.6,10.1.2.2,17,36621,2621,38525292,2757292,1281.02,17.362,30948,0.458021,1276.52,17.2801,1
6,10.1.1.9,10.1.2.2,17,36621,196,38525292,206192,113.194,4.63865,33373,0.476798,114.677,14.3843,1
7,10.1.1.12,10.1.2.2,17,36621,2199,38525292,2313348,1067.59,15.1206,31370,0.461385,1137.83,16.265,1
8,10.1.1.13,10.1.2.2,17,36621,0,38525292,0,0,0,33569,0.478259,0,0,1
9,10.1.1.16,10.1.2.2,17,36621,8908,38525292,9371216,1774.97,27.5485,24661,0.402418,4286.65,17.4891,1
10,10.1.1.18,10.1.2.2,17,36621,10515,38525292,11061780,558.498,28.8842,23054,0.386326,5057.36,17.4981,1
11,10.1.1.19,10.1.2.2,17,36621,6869,38525292,7226188,1817.28,24.0653,26700,0.421661,3500.64,16.514,1
12,10.1.1.20,10.1.2.2,17,36621,2295,38525292,2414340,871.243,9.27388,31274,0.460623,1170.54,16.5007,1
13,10.1.1.24,10.1.2.2,17,36621,10640,38525292,11193280,360.231,29.2889,22929,0.385038,5120.77,17.4869,1
14,10.1.1.25,10.1.2.2,17,36621,0,38525292,0,0,0,33569,0.478259,0,0,1
15,10.1.1.26,10.1.2.2,17,36621,60,38525292,63120,37.0628,1.54771,33509,0.477813,59.382,8.50359,1
16,10.1.1.27,10.1.2.2,17,36621,3507,38525292,3689364,1372.14,16.1319,30062,0.45082,1796.7,16.4273,1
17,10.1.1.28,10.1.2.2,17,36621,270,38525292,284040,132.008,2.08574,33299,0.476244,292.476,7.76925,1
18,10.1.1.30,10.1.2.2,17,36621,0,38525292,0,0,0,33569,0.478259,0,0,1
19,10.1.1.31,10.1.2.2,17,36621,0,38525292,0,0,0,33569,0.478259,0,0,1
20,10.1.1.32,10.1.2.2,17,36621,136,38525292,143072,88.9706,7.65292,33433,0.477246,75.3242,15.1953,1
21,10.1.1.36,10.1.2.2,17,36621,0,38525292,0,0,0,33569,0.478259,0,0,1
22,10.1.1.38,10.1.2.2,17,36621,98,38525292,103096,62.6282,5.97453,33471,0.47753,56.1895,14.6783,1
23,10.1.1.39,10.1.2.2,17,36621,96,38525292,100992,77.1878,4.74812,33473,0.477544,75.6906,10.6742,1
24,10.1.1.41,10.1.2.2,17,36621,0,38525292,0,0,0,33569,0.478259,0,0,1
25,10.1.1.42,10.1.2.2,17,36621,0,38525292,0,0,0,33569,0.478259,0,0,1
26,10.1.1.47,10.1.2.2,17,36621,265,38525292,278780,143.397,2.36634,33304,0.476282,137.527,16.2167,1
27,10.1.1.48,10.1.2.2,17,36621,15,38525292,15780,18.1303,3.7345,33554,0.478147,13.8435,9.1191,1
28,10.1.1.3,10.1.2.2,17,2018,639,314808,99684,217.951,32.6781,1252,0.382875,12.4719,63.9413,0
29,10.1.1.8,10.1.2.2,17,1958,0,305448,0,0,0,1588,0.447829,0,0,0
30,10.1.1.11,10.1.2.2,17,2067,0,322452,0,0,0,1769,0.461157,0,0,0
31,10.1.1.10,10.1.2.2,17,2190,0,341640,0,0,0,1846,0.457384,0,0,0
32,10.1.1.5,10.1.2.2,17,2002,0,312312,0,0,0,1736,0.464419,0,0,0
33,10.1.1.15,10.1.2.2,17,1438,219,224328,34164,22.2249,5.87519,1202,0.455303,4.79697,56.976,0
34,10.1.1.14,10.1.2.2,17,1907,799,297492,124644,299.099,39.1361,1001,0.344223,16.5238,60.3465,0
35,10.1.1.17,10.1.2.2,17,1688,1387,263328,216372,206.845,50.602,256,0.131687,28.8724,59.9526,0
36,10.1.1.21,10.1.2.2,17,2046,883,319176,137748,353.948,60.1581,1044,0.337864,19.4439,56.675,0
37,10.1.1.22,10.1.2.2,17,1803,877,281268,136812,298.78,45.9237,753,0.294601,19.4598,56.244,0
38,10.1.1.23,10.1.2.2,17,1612,1381,251472,215436,126.446,33.8023,231,0.125339,31.4163,54.8598,0
39,10.1.1.29,10.1.2.2,17,1823,0,284388,0,0,0,1510,0.453045,0,0,0
40,10.1.1.33,10.1.2.2,17,1938,0,302328,0,0,0,1605,0.453006,0,0,0
41,10.1.1.34,10.1.2.2,17,1717,0,267852,0,0,0,1292,0.429379,0,0,0
42,10.1.1.35,10.1.2.2,17,2049,0,319644,0,0,0,1621,0.441689,0,0,0
43,10.1.1.40,10.1.2.2,17,1832,0,285792,0,0,0,1470,0.445185,0,0,0
44,10.1.1.37,10.1.2.2,17,1803,0,281268,0,0,0,1451,0.445913,0,0,0
45,10.1.1.43,10.1.2.2,17,1481,0,231036,0,0,0,1141,0.435164,0,0,0
46,10.1.1.44,10.1.2.2,17,1406,310,219336,48360,96.3709,11.755,1091,0.436924,8.45019,45.7836,0
47,10.1.1.45,10.1.2.2,17,1406,0,219336,0,0,0,1149,0.449706,0,0,0
48,10.1.1.46,10.1.2.2,17,1609,80,251004,12480,0.438433,0.517091,1292,0.445364,2.22758,44.82,0
49,10.1.1.49,10.1.2.2,17,1494,0,233064,0,0,0,1254,0.456332,0,0,0
50,10.1.1.50,10.1.2.2,17,1211,0,188916,0,0,0,1089,0.473478,0,0,0
