flow_id,source_ip,destination_ip,protocol,tx_packets,rx_packets,tx_bytes,rx_bytes,delay_sum,jitter_sum,lost_packets,packet_loss_ratio,throughput,flow_duration,label
1,10.1.1.3,10.1.2.2,17,2015,0,314340,0,0,0,1580,0.439499,0,0,0
2,10.1.1.1,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
3,10.1.1.2,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
4,10.1.1.4,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
5,10.1.1.5,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
6,10.1.1.6,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
7,10.1.1.7,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
8,10.1.1.8,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
9,10.1.1.9,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
10,10.1.1.10,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
11,10.1.1.11,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
12,10.1.1.12,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
13,10.1.1.13,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
14,10.1.1.14,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
15,10.1.1.15,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
16,10.1.1.16,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
17,10.1.1.17,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
18,10.1.1.18,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
19,10.1.1.19,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
20,10.1.1.20,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
21,10.1.1.22,10.1.2.2,17,30517,7556,32103884,7948912,1712.72,24.3863,19909,0.394816,3638.31,17.4783,1
22,10.1.1.23,10.1.2.2,17,30517,9539,32103884,10035028,921.621,28.6105,17926,0.370043,4645.28,17.2821,1
23,10.1.1.25,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
24,10.1.1.26,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
25,10.1.1.27,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
26,10.1.1.28,10.1.2.2,17,30517,0,32103884,0,0,0,27465,0.473681,0,0,1
27,10.1.1.29,10.1.2.2,17,30517,176,32103884,185152,108.555,7.1736,27289,0.472079,99.8427,14.8355,1
28,10.1.1.21,10.1.2.2,17,1767,823,275652,128388,208.825,36.8992,862,0.327881,21.427,47.9351,0
29,10.1.1.24,10.1.2.2,17,1957,0,305292,0,0,0,1517,0.436672,0,0,0
30,10.1.1.30,10.1.2.2,17,1684,0,262704,0,0,0,1346,0.444224,0,0,0
