time,normal_packets,attack_packets,total_throughput,avg_delay
1,0,0,0,0
2,16,0,19.968,0
3,49,0,81.12,0
4,49,0,142.272,0
5,97,0,263.328,0
6,161,15250,13759.2,0
7,137,15250,31434.1,0
8,194,15275,50823,0
9,339,15250,73584.7,0
10,350,15250,96517.5,0
11,344,15275,121877,0
12,339,15250,147650,0
13,402,15250,174491,0
14,428,15275,198058,0
15,394,15250,225456,0
16,454,15250,251067,0
17,502,15275,272567,0
18,559,15250,302290,0
19,475,15250,328960,0
20,522,15275,355911,0
21,557,15250,381315,0
22,569,15250,404131,0
23,547,15275,412616,0
24,716,15250,412720,0
25,861,15275,412959,0
26,723,15250,413248,0
27,781,15250,413389,0
28,947,15275,413673,0
29,903,15250,413863,0
30,1025,15250,414076,0
31,842,15275,414303,0
32,850,15250,414479,0
33,803,15250,414703,0
34,626,15275,414862,0
35,722,15250,415032,0
36,792,15250,415214,0
37,871,15275,415412,0
38,802,15250,415543,0
39,802,15250,415757,0
40,818,15275,415950,0
41,591,15250,416135,0
42,892,15275,416335,0
43,903,15250,416522,0
44,815,15250,416749,0
45,915,15275,417078,0
46,904,15250,417275,0
47,836,15250,417458,0
48,751,15275,417579,0
49,506,15250,417714,0
50,845,15250,417773,0
51,1012,15275,417916,0
52,937,15250,418167,0
53,611,15250,418324,0
54,729,15275,418464,0
55,849,15250,418595,0
56,799,15250,418784,0
57,842,15275,418972,0
58,789,15250,419141,0
59,865,15250,419367,0
60,891,15275,419485,0
61,848,15250,419691,0
62,800,15275,419881,0
63,798,15250,420075,0
64,818,15250,420215,0
65,797,15275,420354,0
66,795,0,420651,0
67,843,0,420968,0
68,694,0,421255,0
69,703,0,421541,0
70,0,0,421541,0
