flow_id,source_ip,destination_ip,protocol,tx_packets,rx_packets,tx_bytes,rx_bytes,delay_sum,jitter_sum,lost_packets,packet_loss_ratio,throughput,flow_duration,label
1,10.1.1.1,10.1.2.2,17,1333,0,207948,0,0,0,945,0.414838,0,0,0
2,10.1.1.3,10.1.2.2,17,1490,1490,232440,232440,14.9267,7.08956,0,0,52.0194,35.7467,0
3,10.1.1.2,10.1.2.2,17,18310,10680,19262120,11235360,73.5049,13.7463,4578,0.200017,5136.29,17.4996,1
4,10.1.1.4,10.1.2.2,17,18310,0,19262120,0,0,0,15258,0.45454,0,0,1
5,10.1.1.5,10.1.2.2,17,18310,0,19262120,0,0,0,15258,0.45454,0,0,1
6,10.1.1.6,10.1.2.2,17,18310,0,19262120,0,0,0,15258,0.45454,0,0,1
7,10.1.1.7,10.1.2.2,17,18310,10678,19262120,11233256,151.089,14.734,4580,0.200087,5135.48,17.4991,1
8,10.1.1.9,10.1.2.2,17,18310,0,19262120,0,0,0,15258,0.45454,0,0,1
9,10.1.1.10,10.1.2.2,17,1150,642,179400,100152,42.2971,12.0881,312,0.213406,29.6484,27.024,0
10,10.1.1.8,10.1.2.2,17,1057,0,164892,0,0,0,782,0.425231,0,0,0
