time,normal_packets,attack_packets,total_throughput,avg_delay
1,0,0,0,0
2,24,0,0,0
3,22,0,0,0
4,94,0,0,0
5,177,0,0,0
6,244,3050,0,0
7,249,3050,0,0
8,258,3055,0,0
9,296,3050,0,0
10,395,3050,0,0
11,478,3055,0,0
12,517,3050,0,0
13,439,3050,0,0
14,549,3055,0,0
15,499,3050,0,0
16,476,0,0,0
17,417,0,0,0
18,474,0,0,0
19,500,0,0,0
20,0,0,0,0
