time,normal_packets,attack_packets,total_throughput,avg_delay
1,0,0,0,0
2,0,0,0,0
3,36,0,0,0
4,18,0,0,0
5,31,0,0,0
6,49,15860,9720.48,0
7,43,15860,18969.7,0
8,49,15886,29464.4,0
9,49,15860,40287.4,0
10,24,15860,49317.8,0
11,49,15886,59147.6,0
12,96,15860,67140.1,0
13,97,15860,73654.1,0
14,129,15886,82113.4,0
15,109,15860,91381.1,0
16,89,15860,103279,0
17,154,15886,110754,0
18,154,15860,121419,0
19,134,15860,124272,0
20,152,15886,129496,0
21,147,15860,134781,0
22,113,15860,140681,0
23,119,15886,145733,0
24,109,15860,145738,0
25,102,15886,145738,0
26,169,15860,145766,0
27,194,15860,145798,0
28,169,15886,145821,0
29,195,15860,145858,0
30,167,15860,145887,0
31,156,15886,145887,0
32,161,15860,145919,0
33,151,15860,145951,0
34,178,15886,145951,0
35,99,15860,145970,0
36,164,15860,145998,0
37,182,15886,145998,0
38,195,15860,146048,0
39,194,15860,146048,0
40,103,15886,146048,0
41,114,15860,146048,0
42,87,15886,146048,0
43,176,15860,146080,0
44,181,15860,146080,0
45,122,15886,146115,0
46,146,15860,146148,0
47,175,15860,146153,0
48,139,15886,146170,0
49,133,15860,146175,0
50,169,15860,146184,0
51,162,15886,146184,0
52,192,15860,146213,0
53,147,15860,146213,0
54,145,15886,146213,0
55,134,15860,146213,0
56,153,0,146230,0
57,191,0,146291,0
58,195,0,146351,0
59,133,0,146380,0
60,0,0,146380,0
