time,normal_packets,attack_packets,total_throughput,avg_delay
1,0,0,0,0
2,2,0,2.496,0
3,49,0,63.648,0
4,54,0,124.8,0
5,121,0,214.656,0
6,109,9150,12252.7,0
7,178,9150,22515.3,0
8,156,9165,35994.9,0
9,268,9150,47851,0
10,296,9150,60340.8,0
11,328,9165,71815.6,0
12,503,9150,82693.9,0
13,487,9150,93436,0
14,361,9165,105697,0
15,448,9150,116669,0
16,578,9150,127108,0
17,633,9165,137624,0
18,634,9150,149220,0
19,663,9150,160681,0
20,693,9165,169950,0
21,776,9150,177586,0
22,859,9150,182172,0
23,850,9165,187694,0
24,851,9150,187870,0
25,882,9165,188028,0
26,1047,9150,188271,0
27,964,9150,188476,0
28,845,9165,188702,0
29,816,9150,188899,0
30,912,9150,189193,0
31,807,9165,189343,0
32,881,9150,189437,0
33,647,9150,189646,0
34,799,9165,189814,0
35,789,9150,190019,0
36,758,9150,190193,0
37,692,9165,190253,0
38,729,9150,190424,0
39,863,9150,190576,0
40,783,9165,190712,0
41,891,9150,190943,0
42,860,9165,191129,0
43,831,9150,191249,0
44,920,9150,191491,0
45,812,9165,191698,0
46,611,0,191911,0
47,863,0,192136,0
48,850,0,192378,0
49,948,0,192580,0
50,0,0,192580,0
