time,normal_packets,attack_packets,total_throughput,avg_delay
1,0,0,0,0
2,0,0,0,0
3,5,0,0,0
4,35,0,0,0
5,0,0,0,0
6,42,7930,10713.6,0
7,112,7930,21267.2,0
8,86,7943,29119.4,0
9,173,7930,37653.2,0
10,235,7930,46144.9,0
11,220,7943,53281.7,0
12,129,7930,63221,0
13,163,7930,71956.8,0
14,254,7943,80095.1,0
15,220,7930,86928.9,0
16,230,7930,92576,0
17,245,7943,100664,0
18,210,7930,109198,0
19,236,7930,115425,0
20,256,7943,122832,0
21,189,7930,135960,0
22,222,7930,141784,0
23,251,7943,144360,0
24,263,7930,144360,0
25,220,7943,144360,0
26,279,7930,144360,0
27,199,7930,144360,0
28,289,7943,144360,0
29,252,7930,144360,0
30,266,7930,144360,0
31,278,7943,144360,0
32,274,7930,144360,0
33,281,7930,144360,0
34,233,7943,144360,0
35,262,7930,144360,0
36,209,7930,144360,0
37,302,7943,144360,0
38,246,7930,144360,0
39,200,7930,144360,0
40,241,7943,144360,0
41,229,7930,144360,0
42,197,7943,144360,0
43,257,7930,144360,0
44,228,7930,144360,0
45,266,7943,144360,0
46,239,0,144360,0
47,253,0,144360,0
48,265,0,144360,0
49,272,0,144360,0
50,0,0,144360,0
